"page_id";"page_name";"link";"tag1";"tag2";"tag3";"tag4"
1;"311 Contact Centre Metrics";"https://opendata.citywindsor.ca/opendata/details/226";" miscellaneous";"";"";""
2;"3-Day Parking Infraction Service Requests";"https://opendata.citywindsor.ca/opendata/details/6";"vehicle";"";"";""
3;"Abandoned Vehicle Service Requests";"https://opendata.citywindsor.ca/opendata/details/9";"vehicle";"";"";""
4;"All Service Requests";"https://opendata.citywindsor.ca/opendata/details/11";"emergency";"public";"miscellaneous";""
5;"Alley Maintenance Service Requests";"https://opendata.citywindsor.ca/opendata/details/13";"public";"";"";""
6;"Arenas";"https://opendata.citywindsor.ca/opendata/details/2";"public";"building";"";""
7;"Bike Lanes, Signed Routes & Multi-use Trails";"https://opendata.citywindsor.ca/opendata/details/3";"public";"";"";""
8;"Building Accessibility Service Requests";"https://opendata.citywindsor.ca/opendata/details/15";"public";"building";"";""
9;"Building Conditions Service Requests";"https://opendata.citywindsor.ca/opendata/details/17";"building";"";"";""
10;"Building Footprints";"https://opendata.citywindsor.ca/opendata/details/234";"building";"";"";""
11;"Building/Land - Improper Use Service Requests";"https://opendata.citywindsor.ca/opendata/details/191";"building";"land";"";""
12;"Business Improvement Area";"https://opendata.citywindsor.ca/opendata/details/193";"miscellaneous";"land";"";""
13;"Bylaw and Building Statistics";"https://opendata.citywindsor.ca/opendata/details/194";"building";"";"";""
14;"Census";"https://opendata.citywindsor.ca/opendata/details/225";"census";"";"";""
15;"Community Centres";"https://opendata.citywindsor.ca/opendata/details/195";"building";"public";"";""
16;"Construction Site Conditions Service Requests";"https://opendata.citywindsor.ca/opendata/details/189";"building";"";"";""
17;"Crossing Guard Locations";"https://opendata.citywindsor.ca/opendata/details/233";"public";"land";"miscellaneous";""
18;"Curb Maintenance Service Requests";"https://opendata.citywindsor.ca/opendata/details/187";"public";"";"";""
19;"Dead Animal Removal Service Requests";"https://opendata.citywindsor.ca/opendata/details/185";"public";"miscellaneous";"";""
20;"Dirty Yard Service Requests";"https://opendata.citywindsor.ca/opendata/details/183";"building";"land";"";""
21;"Dog Complaint - Bylaw Service Requests";"https://opendata.citywindsor.ca/opendata/details/181";"miscellaneous";"";"";""
22;"Dog Complaint - Humane Society Service Requests";"https://opendata.citywindsor.ca/opendata/details/179";"miscellaneous";"";"";""
23;"Downspout Disconnect Service Requests";"https://opendata.citywindsor.ca/opendata/details/177";"public";"";"";""
24;"Drainage Service Requests";"https://opendata.citywindsor.ca/opendata/details/175";"public";"";"";""
25;"Edge of Pavement";"https://opendata.citywindsor.ca/opendata/details/235";"public";"land";"";""
26;"Elected Officials Contact Information";"https://opendata.citywindsor.ca/opendata/details/196";"public";"census";"";""
27;"Election Results - 2010";"https://opendata.citywindsor.ca/opendata/details/197";"census";"";"";""
28;"Election Results - 2014";"https://opendata.citywindsor.ca/opendata/details/198";"census";"";"";""
29;"Election Results - 2018";"https://opendata.citywindsor.ca/opendata/details/228";"census";"";"";""
30;"Fence & Hedge Service Requests";"https://opendata.citywindsor.ca/opendata/details/173";"public";"land";"";""
31;"Fire Stations";"https://opendata.citywindsor.ca/opendata/details/199";"emergency";"building";"";""
32;"Forward Sortation Areas (FSA)";"https://opendata.citywindsor.ca/opendata/details/200";"land";"public";"";""
33;"Garbage & Recycling Collection";"https://opendata.citywindsor.ca/opendata/details/201";"public";"";"";""
34;"Garbage Not Collected Service Requests";"https://opendata.citywindsor.ca/opendata/details/171";"public";"miscellaneous";"";""
35;"Garbage Preparation Service Requests";"https://opendata.citywindsor.ca/opendata/details/169";"public";"miscellaneous";"";""
36;"Graffiti Service Requests";"https://opendata.citywindsor.ca/opendata/details/167";"public";"miscellaneous";"";""
37;"Heritage Sites";"https://opendata.citywindsor.ca/opendata/details/202";"building";"land";"";""
38;"Hospitals";"https://opendata.citywindsor.ca/opendata/details/203";"building";"emergency";"";""
39;"Humane Society - Dead Animal Removal";"https://opendata.citywindsor.ca/opendata/details/227";"miscellaneous";"";"";""
40;"Illegal Dumping Public Property Service Requests";"https://opendata.citywindsor.ca/opendata/details/165";"miscellaneous";"public";"";""
41;"Keeping of Animals Service Requests";"https://opendata.citywindsor.ca/opendata/details/163";"miscellaneous";"";"";""
42;"Land Parcels";"https://opendata.citywindsor.ca/opendata/details/204";"land";"";"";""
43;"Libraries";"https://opendata.citywindsor.ca/opendata/details/205";"public";"building";"";""
